Date,RBA
2022-09-02,130.5
2022-09-05,133.14999389648438
2022-09-06,133.25
2022-09-07,132.14999389648438
2022-09-08,132.39999389648438
2022-09-09,131.85000610351562
2022-09-12,131.14999389648438
2022-09-13,128.0
2022-09-14,129.14999389648438
2022-09-15,126.80000305175781
2022-09-16,119.55000305175781
2022-09-19,121.5999984741211
2022-09-20,125.1500015258789
2022-09-21,123.69999694824219
2022-09-22,124.25
2022-09-23,123.69999694824219
2022-09-26,121.6500015258789
2022-09-27,126.25
2022-09-28,128.0500030517578
2022-09-29,126.5
2022-09-30,129.5
2022-10-03,131.60000610351562
2022-10-04,130.0
2022-10-06,130.39999389648438
2022-10-07,129.25
2022-10-10,126.4000015258789
2022-10-11,126.1500015258789
2022-10-12,126.0
2022-10-13,127.94999694824219
2022-10-14,123.9000015258789
2022-10-17,122.25
2022-10-18,128.0
2022-10-19,122.5
2022-10-20,122.94999694824219
2022-10-21,120.0999984741211
2022-10-24,121.4000015258789
2022-10-25,122.05000305175781
2022-10-27,121.0999984741211
2022-10-28,120.80000305175781
2022-10-31,121.5999984741211
2022-11-01,120.69999694824219
2022-11-02,121.94999694824219
2022-11-03,121.0
2022-11-04,122.05000305175781
2022-11-07,121.5999984741211
2022-11-09,122.5999984741211
2022-11-10,121.05000305175781
2022-11-11,126.0
2022-11-14,117.05000305175781
2022-11-15,117.5999984741211
2022-11-16,117.05000305175781
2022-11-17,116.25
2022-11-18,112.30000305175781
2022-11-21,114.55000305175781
2022-11-22,112.94999694824219
2022-11-23,111.3499984741211
2022-11-24,116.0
2022-11-25,117.0999984741211
2022-11-28,120.0
2022-11-29,119.0
2022-11-30,120.55000305175781
2022-12-01,119.5
2022-12-02,117.69999694824219
2022-12-05,118.5999984741211
2022-12-06,117.80000305175781
2022-12-07,118.0999984741211
2022-12-08,117.4000015258789
2022-12-09,116.0999984741211
2022-12-12,116.30000305175781
2022-12-13,118.19999694824219
2022-12-14,118.94999694824219
2022-12-15,118.94999694824219
2022-12-16,116.19999694824219
2022-12-19,117.80000305175781
2022-12-20,117.05000305175781
2022-12-21,118.0
2022-12-22,114.05000305175781
2022-12-23,106.4000015258789
2022-12-26,110.25
2022-12-27,109.75
2022-12-28,112.5
2022-12-29,110.9000015258789
2022-12-30,111.75
2023-01-02,114.30000305175781
2023-01-03,113.25
2023-01-04,110.9000015258789
2023-01-05,110.55000305175781
2023-01-06,111.05000305175781
2023-01-09,111.69999694824219
2023-01-10,110.9000015258789
2023-01-11,110.25
2023-01-12,116.25
2023-01-13,115.3499984741211
2023-01-16,115.19999694824219
2023-01-17,114.75
2023-01-18,114.30000305175781
2023-01-19,114.55000305175781
2023-01-20,111.8499984741211
2023-01-23,115.05000305175781
2023-01-24,116.0
2023-01-25,112.5999984741211
2023-01-27,110.5
2023-01-30,108.44999694824219
2023-01-31,110.44999694824219
2023-02-01,109.9000015258789
2023-02-02,107.94999694824219
2023-02-03,106.5
2023-02-06,106.3499984741211
2023-02-07,106.3499984741211
2023-02-08,106.5
2023-02-09,99.5
2023-02-10,99.94999694824219
2023-02-13,99.05000305175781
2023-02-14,97.30000305175781
2023-02-15,98.55000305175781
2023-02-16,98.5999984741211
2023-02-17,99.05000305175781
2023-02-20,99.4000015258789
2023-02-21,98.19999694824219
2023-02-22,98.0999984741211
2023-02-23,96.9000015258789
2023-02-24,96.30000305175781
2023-02-27,91.6500015258789
2023-02-28,93.4000015258789
2023-03-01,94.0999984741211
2023-03-02,94.75
2023-03-03,94.3499984741211
2023-03-06,95.5
2023-03-08,94.19999694824219
2023-03-09,95.6500015258789
2023-03-10,95.19999694824219
2023-03-13,94.5
2023-03-14,94.0
2023-03-15,93.3499984741211
2023-03-16,91.3499984741211
2023-03-17,92.4000015258789
2023-03-20,90.8499984741211
2023-03-21,91.25
2023-03-22,91.25
2023-03-23,89.9000015258789
2023-03-24,88.30000305175781
2023-03-27,86.75
2023-03-28,85.05000305175781
2023-03-29,87.05000305175781
2023-03-31,90.0999984741211
2023-04-03,92.19999694824219
2023-04-05,94.5
2023-04-06,94.05000305175781
2023-04-10,93.8499984741211
2023-04-11,92.55000305175781
2023-04-12,92.94999694824219
2023-04-13,93.69999694824219
2023-04-17,93.05000305175781
2023-04-18,95.0
2023-04-19,94.05000305175781
2023-04-20,94.0999984741211
2023-04-21,94.0999984741211
2023-04-24,94.9000015258789
2023-04-25,96.30000305175781
2023-04-26,97.25
2023-04-27,100.8499984741211
2023-04-28,102.19999694824219
2023-05-02,102.25
2023-05-03,100.05000305175781
2023-05-04,98.75
2023-05-05,107.94999694824219
2023-05-08,106.25
2023-05-09,105.44999694824219
2023-05-10,107.1500015258789
2023-05-11,106.19999694824219
2023-05-12,104.8499984741211
2023-05-15,103.80000305175781
2023-05-16,107.25
2023-05-17,107.19999694824219
2023-05-18,122.5
2023-05-19,118.19999694824219
2023-05-22,110.1500015258789
2023-05-23,110.44999694824219
2023-05-24,109.1500015258789
2023-05-25,105.75
2023-05-26,107.5999984741211
2023-05-29,108.30000305175781
2023-05-30,107.19999694824219
2023-05-31,108.19999694824219
2023-06-01,107.30000305175781
2023-06-02,109.25
2023-06-05,110.4000015258789
2023-06-06,109.19999694824219
2023-06-07,109.5999984741211
2023-06-08,108.94999694824219
2023-06-09,107.55000305175781
2023-06-12,107.5999984741211
2023-06-13,108.0
2023-06-14,108.4000015258789
2023-06-15,107.8499984741211
2023-06-16,110.0
2023-06-19,113.5999984741211
2023-06-20,115.05000305175781
2023-06-21,114.94999694824219
2023-06-22,115.0
2023-06-23,114.3499984741211
2023-06-26,113.94999694824219
2023-06-27,111.4000015258789
2023-06-28,108.5
2023-06-30,107.69999694824219
2023-07-03,107.5999984741211
2023-07-04,110.19999694824219
2023-07-05,110.9000015258789
2023-07-06,111.5
2023-07-07,110.4000015258789
2023-07-10,108.4000015258789
2023-07-11,112.05000305175781
2023-07-12,112.0999984741211
2023-07-13,109.44999694824219
2023-07-14,111.19999694824219
2023-07-17,110.0999984741211
2023-07-18,109.05000305175781
2023-07-19,110.8499984741211
2023-07-20,114.0999984741211
2023-07-21,112.44999694824219
2023-07-24,112.1500015258789
2023-07-25,113.0999984741211
2023-07-26,111.80000305175781
2023-07-27,110.25
2023-07-28,114.9000015258789
2023-07-31,118.1500015258789
2023-08-01,115.25
2023-08-02,113.6500015258789
2023-08-03,116.69999694824219
2023-08-04,118.4000015258789
2023-08-07,120.0999984741211
2023-08-08,117.4000015258789
2023-08-09,119.30000305175781
2023-08-10,117.05000305175781
2023-08-11,116.0999984741211
2023-08-14,116.55000305175781
2023-08-16,115.19999694824219
2023-08-17,118.30000305175781
2023-08-18,114.80000305175781
2023-08-21,114.80000305175781
2023-08-22,116.0999984741211
2023-08-23,116.19999694824219
2023-08-24,117.5999984741211
2023-08-25,116.5
2023-08-28,122.44999694824219
2023-08-29,123.0
2023-08-30,123.80000305175781
2023-08-31,126.9000015258789
2023-09-01,123.75
2023-09-04,121.6500015258789
2023-09-05,119.19999694824219
2023-09-06,124.0
