Date,SIS
2019-03-12,417.5240173339844
2019-03-13,417.3537902832031
2019-03-14,413.41375732421875
2019-03-15,417.9131774902344
2019-03-18,418.4482421875
2019-03-19,425.52569580078125
2019-03-20,425.0636291503906
2019-03-22,396.7292785644531
2019-03-25,416.38092041015625
2019-03-26,423.7989196777344
2019-03-27,421.001953125
2019-03-28,416.7457275390625
2019-04-01,415.943115234375
2019-04-02,411.61395263671875
2019-04-03,411.2491149902344
2019-04-04,420.0777282714844
2019-04-05,425.50140380859375
2019-04-08,416.08905029296875
2019-04-09,412.7813415527344
2019-04-10,411.9057922363281
2019-04-11,409.91143798828125
2019-04-12,410.10601806640625
2019-04-15,409.6195983886719
2019-04-16,412.6597595214844
2019-04-18,410.0330505371094
2019-04-22,405.3390197753906
2019-04-23,403.271728515625
2019-04-24,406.70098876953125
2019-04-25,406.3118896484375
2019-04-26,402.63934326171875
2019-04-30,401.30169677734375
2019-05-02,405.193115234375
2019-05-03,401.739501953125
2019-05-06,458.5783996582031
2019-05-07,449.3848876953125
2019-05-08,437.6864013671875
2019-05-09,418.4725341796875
2019-05-10,422.38824462890625
2019-05-13,422.5828552246094
2019-05-14,422.41259765625
2019-05-15,432.1897888183594
2019-05-16,425.40411376953125
2019-05-17,429.0523376464844
2019-05-20,427.83624267578125
2019-05-21,429.9765319824219
2019-05-22,437.7350158691406
2019-05-23,441.6020812988281
2019-05-24,457.2164001464844
2019-05-27,443.66943359375
2019-05-28,444.0585632324219
2019-05-29,442.6722412109375
2019-05-30,445.1530456542969
2019-05-31,444.4963684082031
2019-06-03,444.4963684082031
2019-06-04,437.1513366699219
2019-06-06,438.9024353027344
2019-06-07,452.0602722167969
2019-06-10,458.2378845214844
2019-06-11,456.3894958496094
2019-06-12,459.4539794921875
2019-06-13,462.5671081542969
2019-06-14,453.081787109375
2019-06-17,454.0059814453125
2019-06-18,460.11065673828125
2019-06-19,452.68951416015625
2019-06-20,456.44891357421875
2019-06-21,460.08624267578125
2019-06-24,451.0539245605469
2019-06-25,453.12890625
2019-06-26,458.8412170410156
2019-06-27,446.6354064941406
2019-06-28,441.9483947753906
2019-07-01,436.187255859375
2019-07-02,442.82720947265625
2019-07-03,436.3581237792969
2019-07-04,434.1122741699219
2019-07-05,432.1593322753906
2019-07-08,431.59783935546875
2019-07-09,413.19146728515625
2019-07-10,406.5271301269531
2019-07-11,406.6247253417969
2019-07-12,418.2202453613281
2019-07-15,422.1993408203125
2019-07-16,415.3396911621094
2019-07-17,413.58203125
2019-07-18,419.58734130859375
2019-07-19,408.99267578125
2019-07-22,405.64825439453125
