Date,PGHH
2015-09-08,4942.8427734375
2015-09-09,4996.326171875
2015-09-10,4973.36181640625
2015-09-11,5000.041015625
2015-09-14,4970.23095703125
2015-09-15,4928.31201171875
2015-09-16,4947.81005859375
2015-09-18,5014.48779296875
2015-09-21,5088.63671875
2015-09-22,5011.48193359375
2015-09-23,5039.45556640625
2015-09-24,4998.20361328125
2015-09-28,5009.14306640625
2015-09-29,5022.62890625
2015-09-30,5216.646484375
2015-10-01,5212.6806640625
2015-10-05,5228.294921875
2015-10-06,5208.21337890625
2015-10-07,5137.52783203125
2015-10-08,5168.21484375
2015-10-09,5177.943359375
2015-10-12,5089.64013671875
2015-10-13,5083.2099609375
2015-10-14,5075.4443359375
2015-10-15,5108.30224609375
2015-10-16,5160.44921875
2015-10-19,5156.169921875
2015-10-20,5185.8330078125
2015-10-21,5129.5693359375
2015-10-23,5156.7568359375
2015-10-26,5158.6865234375
2015-10-27,5157.72314453125
2015-10-28,5121.09423828125
2015-10-29,5203.7490234375
2015-10-30,5101.876953125
2015-11-02,5107.583984375
2015-11-03,5243.7744140625
2015-11-04,5244.740234375
2015-11-05,5155.12109375
2015-11-06,4983.22412109375
2015-11-09,4937.40869140625
2015-11-10,4747.84814453125
2015-11-13,4797.1484375
2015-11-16,4872.0810546875
2015-11-17,4904.388671875
2015-11-18,4873.88623046875
2015-11-19,4882.02490234375
2015-11-20,4904.5146484375
2015-11-23,4887.4794921875
2015-11-24,4891.33984375
2015-11-26,4890.3740234375
2015-11-27,4912.82080078125
2015-11-30,4908.919921875
2015-12-01,4806.50439453125
2015-12-02,4744.15576171875
2015-12-03,4721.87744140625
2015-12-04,4745.45703125
2015-12-07,4750.02978515625
2015-12-08,4750.953125
2015-12-09,4706.10107421875
2015-12-10,4697.4580078125
2015-12-11,4694.68896484375
2015-12-14,4731.5693359375
2015-12-15,4783.42822265625
2015-12-16,4823.2451171875
2015-12-17,4751.2890625
2015-12-18,4756.28271484375
2015-12-21,4742.72998046875
2015-12-22,4724.35302734375
2015-12-23,4748.8974609375
2015-12-24,4700.06005859375
2015-12-28,4729.42919921875
2015-12-29,4746.75830078125
2015-12-30,4719.5693359375
2015-12-31,4724.26904296875
2016-01-01,4701.86474609375
2016-01-04,4699.1376953125
2016-01-05,4635.0703125
2016-01-06,4732.828125
2016-01-07,4710.21435546875
2016-01-08,4781.95947265625
2016-01-11,4779.5673828125
2016-01-12,4734.296875
2016-01-13,4665.0263671875
2016-01-14,4687.22021484375
2016-01-15,4670.73193359375
2016-01-18,4410.47607421875
2016-01-19,4457.25732421875
2016-01-20,4434.81005859375
2016-01-21,4421.25830078125
2016-01-22,4546.96044921875
2016-01-25,4573.26708984375
2016-01-27,4610.2724609375
2016-01-28,4623.15283203125
2016-01-29,4661.544921875
2016-02-01,4637.37744140625
2016-02-02,4571.755859375
2016-02-03,4579.01513671875
2016-02-04,4531.43603515625
2016-02-05,4609.853515625
2016-02-08,4916.59765625
2016-02-09,4951.12744140625
2016-02-10,4956.28857421875
2016-02-11,4950.9609375
2016-02-12,4916.8076171875
2016-02-15,4897.92626953125
2016-02-16,4909.716796875
2016-02-17,4942.275390625
2016-02-18,4959.56201171875
2016-02-19,4961.4501953125
2016-02-22,4952.13525390625
2016-02-23,4951.16943359375
2016-02-24,4968.12060546875
2016-02-25,4952.302734375
2016-02-26,4926.708984375
2016-02-29,4842.9638671875
2016-03-01,4893.017578125
2016-03-02,4949.9951171875
2016-03-03,4976.76416015625
2016-03-04,5049.97802734375
2016-03-08,5269.1591796875
2016-03-09,5352.27490234375
2016-03-10,5262.61328125
2016-03-11,5268.73876953125
2016-03-14,5142.36572265625
2016-03-15,5098.60546875
2016-03-16,5058.158203125
2016-03-17,5181.1328125
2016-03-18,5251.998046875
2016-03-21,5207.60888671875
2016-03-22,5106.82958984375
2016-03-23,5359.240234375
2016-03-28,5227.37060546875
2016-03-29,5164.64404296875
2016-03-30,5198.50390625
