Date,DBL
2023-03-14,190.5880126953125
2023-03-15,188.44715881347656
2023-03-16,186.10711669921875
2023-03-17,186.30628967285156
2023-03-20,181.97471618652344
2023-03-21,180.97897338867188
2023-03-22,180.2819366455078
2023-03-23,178.63893127441406
2023-03-24,182.4726104736328
2023-03-27,175.05421447753906
2023-03-28,170.92181396484375
2023-03-29,167.63583374023438
2023-03-31,168.18348693847656
2023-04-03,172.81375122070312
2023-04-05,177.94189453125
2023-04-06,179.6346893310547
2023-04-10,183.5679473876953
2023-04-11,180.43130493164062
2023-04-12,179.2861785888672
2023-04-13,177.4938201904297
2023-04-17,177.99168395996094
2023-04-18,179.0870361328125
2023-04-19,178.14105224609375
2023-04-20,177.79254150390625
2023-04-21,177.09552001953125
2023-04-24,177.294677734375
2023-04-25,176.8963623046875
2023-04-26,176.94615173339844
2023-04-27,178.53936767578125
2023-04-28,179.7840576171875
2023-05-02,178.8380889892578
2023-05-03,177.8423309326172
2023-05-04,178.98745727539062
2023-05-05,177.89210510253906
2023-05-08,176.99594116210938
2023-05-09,177.1453094482422
2023-05-10,176.24911499023438
2023-05-11,177.94189453125
2023-05-12,172.01715087890625
2023-05-15,171.7184295654297
2023-05-16,172.6643829345703
2023-05-17,170.87203979492188
2023-05-18,170.57330322265625
2023-05-19,166.5404815673828
2023-05-22,161.41232299804688
2023-05-23,166.39112854003906
2023-05-24,167.4864501953125
2023-05-25,166.5404815673828
2023-05-26,168.58180236816406
2023-05-29,168.4324188232422
2023-05-30,202.0890350341797
2023-05-31,212.19598388671875
2023-06-01,221.15780639648438
2023-06-02,210.80191040039062
2023-06-05,210.503173828125
2023-06-06,214.53599548339844
2023-06-07,219.26583862304688
2023-06-08,216.77645874023438
2023-06-09,218.7181854248047
2023-06-12,225.09103393554688
2023-06-13,226.18637084960938
2023-06-14,224.94166564941406
2023-06-15,230.76686096191406
2023-06-16,229.02427673339844
2023-06-19,231.26473999023438
2023-06-20,230.02003479003906
2023-06-21,246.79855346679688
2023-06-22,240.32614135742188
2023-06-23,232.16090393066406
2023-06-26,233.95327758789062
2023-06-27,238.2350311279297
2023-06-28,236.89076232910156
2023-06-30,237.18948364257812
2023-07-03,241.3716583251953
2023-07-04,254.66505432128906
2023-07-05,260.0421142578125
2023-07-06,254.51568603515625
2023-07-07,251.47862243652344
2023-07-10,247.99346923828125
2023-07-11,249.3875274658203
2023-07-12,250.4828643798828
2023-07-13,243.61212158203125
2023-07-14,243.4627685546875
2023-07-17,242.76573181152344
2023-07-18,238.9818572998047
2023-07-19,240.5750732421875
2023-07-20,241.8197784423828
2023-07-21,241.67041015625
2023-07-24,241.8197784423828
2023-07-25,252.07606506347656
2023-07-26,249.3875274658203
2023-07-27,254.01780700683594
2023-07-28,254.4658966064453
2023-07-31,265.2200622558594
2023-08-01,318.24420166015625
