Date,MGL
2022-01-13,780.9334716796875
2022-01-14,779.3016967773438
2022-01-17,774.7152709960938
2022-01-18,764.2633056640625
2022-01-19,762.2347412109375
2022-01-20,767.8355102539062
2022-01-21,752.1797485351562
2022-01-24,719.9423217773438
2022-01-25,723.2938842773438
2022-01-27,713.503662109375
2022-01-28,718.4869384765625
2022-01-31,722.6765747070312
2022-02-01,731.4525756835938
2022-02-02,747.0641479492188
2022-02-03,750.724609375
2022-02-04,743.0951538085938
2022-02-07,734.2749633789062
2022-02-08,731.0556640625
2022-02-09,704.9921875
2022-02-10,699.7001342773438
2022-02-11,704.6393432617188
2022-02-14,693.3937377929688
2022-02-15,705.741943359375
2022-02-16,702.4784545898438
2022-02-17,692.927001953125
2022-02-18,686.0088500976562
2022-02-21,681.3670043945312
2022-02-22,664.3618774414062
2022-02-23,667.4861450195312
2022-02-24,608.1688232421875
2022-02-25,626.5578002929688
2022-02-28,649.5437622070312
2022-03-02,647.9816284179688
2022-03-03,649.052734375
2022-03-04,639.4566040039062
2022-03-07,637.0912475585938
2022-03-08,680.0726928710938
2022-03-09,676.8145751953125
2022-03-10,678.4213256835938
2022-03-11,669.49462890625
2022-03-14,708.2361450195312
2022-03-15,672.6190185546875
2022-03-16,686.3212280273438
2022-03-17,686.053466796875
2022-03-21,681.2778930664062
2022-03-22,672.2172241210938
2022-03-23,688.50830078125
2022-03-24,687.2138671875
2022-03-25,675.3862915039062
2022-03-28,679.0907592773438
2022-03-29,694.7568969726562
2022-03-30,698.77392578125
2022-03-31,695.4264526367188
2022-04-01,710.3338623046875
2022-04-04,737.3814086914062
2022-04-05,739.702392578125
2022-04-06,732.6056518554688
2022-04-07,731.80224609375
2022-04-08,739.8362426757812
2022-04-11,743.1836547851562
2022-04-12,728.6780395507812
2022-04-13,740.1039428710938
2022-04-18,735.4176025390625
2022-04-19,722.6971435546875
2022-04-20,724.3931884765625
2022-04-21,736.93505859375
2022-04-22,735.4176025390625
2022-04-25,721.2689208984375
2022-04-26,734.1231689453125
2022-04-27,745.1922607421875
2022-04-28,737.2029418945312
2022-04-29,686.6337890625
2022-05-02,688.5975952148438
2022-05-04,684.4913330078125
2022-05-05,684.0449829101562
2022-05-06,681.947265625
2022-05-09,680.5636596679688
2022-05-10,666.9951782226562
2022-05-11,682.5274047851562
2022-05-12,667.8432006835938
2022-05-13,661.014404296875
2022-05-16,678.510498046875
2022-05-17,684.4020385742188
2022-05-18,683.2416381835938
2022-05-19,665.522216796875
2022-05-20,680.8314819335938
2022-05-23,674.6275024414062
2022-05-24,654.1409301757812
2022-05-25,646.9996337890625
2022-05-26,663.1121826171875
2022-05-27,655.1675415039062
2022-05-30,669.0484619140625
2022-05-31,675.207763671875
2022-06-01,682.0811157226562
2022-06-02,687.5263061523438
2022-06-03,680.2958374023438
2022-06-06,681.5901489257812
2022-06-07,680.0280151367188
2022-06-08,680.2958374023438
2022-06-09,688.6422119140625
2022-06-10,683.46484375
2022-06-13,661.416015625
2022-06-14,669.7177734375
2022-06-15,680.96533203125
2022-06-16,643.4735717773438
2022-06-17,623.9244384765625
2022-06-20,604.77685546875
2022-06-21,639.9476928710938
2022-06-22,658.4703369140625
2022-06-23,659.7646484375
2022-06-24,674.8506469726562
2022-06-27,681.3223876953125
2022-06-28,682.3489990234375
2022-06-29,680.5636596679688
2022-06-30,678.9569091796875
2022-07-01,687.2586059570312
2022-07-04,693.5964965820312
2022-07-05,684.8037719726562
2022-07-06,698.1044311523438
2022-07-07,704.4423828125
2022-07-08,716.8502197265625
2022-07-11,717.3411254882812
2022-07-12,706.1830444335938
2022-07-13,714.17236328125
2022-07-14,709.93212890625
2022-07-15,710.9141845703125
2022-07-18,713.8598022460938
2022-07-19,700.73779296875
2022-07-20,700.1575317382812
2022-07-21,688.999267578125
2022-07-22,671.2799682617188
2022-07-25,663.6477661132812
2022-07-26,650.79345703125
2022-07-27,667.6201782226562
2022-07-28,667.39697265625
2022-07-29,672.7974243164062
2022-08-01,697.8812866210938
2022-08-02,702.8355712890625
2022-08-03,701.0055541992188
2022-08-04,696.5868530273438
2022-08-05,700.9163208007812
2022-08-08,729.927734375
2022-08-10,725.1072998046875
2022-08-11,782.9393920898438
2022-08-12,809.6940307617188
2022-08-16,838.723876953125
2022-08-17,824.572998046875
2022-08-18,811.5142211914062
2022-08-19,789.5825805664062
2022-08-22,775.750244140625
2022-08-23,782.7118530273438
2022-08-24,785.3508911132812
2022-08-25,778.84423828125
2022-08-26,777.7977294921875
2022-08-29,783.7129516601562
2022-08-30,790.3106689453125
2022-09-01,793.22265625
2022-09-02,793.5866088867188
2022-09-05,795.1337280273438
2022-09-06,786.4429321289062
2022-09-07,797.9093017578125
2022-09-08,798.0003662109375
2022-09-09,801.048828125
2022-09-12,808.2835083007812
2022-09-13,800.4573364257812
2022-09-14,794.9061889648438
2022-09-15,814.97216796875
2022-09-16,773.7481689453125
2022-09-19,781.1192626953125
2022-09-20,790.9021606445312
2022-09-21,779.7998657226562
2022-09-22,793.9961547851562
2022-09-23,762.554931640625
2022-09-26,726.3358154296875
2022-09-27,774.7492065429688
2022-09-28,784.8959350585938
2022-09-29,795.4066162109375
2022-09-30,757.2766723632812
2022-10-03,729.9304809570312
2022-10-04,749.4503784179688
2022-10-06,753.090576171875
2022-10-07,745.4464111328125
2022-10-10,734.2531127929688
2022-10-11,711.45703125
2022-10-12,709.5913696289062
2022-10-13,712.2760620117188
2022-10-14,735.6635131835938
2022-10-17,723.4237060546875
2022-10-18,724.6978149414062
2022-10-19,714.6874389648438
2022-10-20,712.5945434570312
2022-10-21,713.140625
2022-10-24,715.2335815429688
2022-10-25,762.873291015625
2022-10-27,790.7656860351562
2022-10-28,778.9352416992188
2022-10-31,784.1224975585938
2022-11-01,787.8990478515625
2022-11-02,797.4542846679688
2022-11-03,807.3280639648438
2022-11-04,809.7850952148438
2022-11-07,809.1936645507812
2022-11-09,798.2278442382812
2022-11-10,799.0013427734375
2022-11-11,797.2266845703125
2022-11-14,801.0942993164062
2022-11-15,818.7942504882812
2022-11-16,811.6961669921875
2022-11-17,799.956787109375
2022-11-18,816.0642700195312
2022-11-21,820.0684204101562
2022-11-22,792.9496459960938
2022-11-23,797.727294921875
