Date,CARTRADE
2022-12-15,511.79998779296875
2022-12-16,505.79998779296875
2022-12-19,500.3500061035156
2022-12-20,493.6499938964844
2022-12-21,484.45001220703125
2022-12-22,467.29998779296875
2022-12-23,446.45001220703125
2022-12-26,463.54998779296875
2022-12-27,458.79998779296875
2022-12-28,467.0
2022-12-29,461.45001220703125
2022-12-30,468.6499938964844
2023-01-02,475.1000061035156
2023-01-03,482.6000061035156
2023-01-04,478.6000061035156
2023-01-05,481.70001220703125
2023-01-06,480.6000061035156
2023-01-09,480.6000061035156
2023-01-10,474.25
2023-01-11,468.54998779296875
2023-01-12,462.45001220703125
2023-01-13,465.04998779296875
2023-01-16,463.54998779296875
2023-01-17,464.6000061035156
2023-01-18,467.95001220703125
2023-01-19,461.95001220703125
2023-01-20,458.45001220703125
2023-01-23,465.6000061035156
2023-01-24,474.25
2023-01-25,480.70001220703125
2023-01-27,483.1499938964844
2023-01-30,491.8999938964844
2023-01-31,501.5
2023-02-01,497.3999938964844
2023-02-02,483.8500061035156
2023-02-03,502.0
2023-02-06,503.3500061035156
2023-02-07,503.70001220703125
2023-02-08,509.6499938964844
2023-02-09,502.70001220703125
2023-02-10,525.0
2023-02-13,547.2999877929688
2023-02-14,553.9500122070312
2023-02-15,552.0
2023-02-16,555.0
2023-02-17,527.4500122070312
2023-02-20,527.3499755859375
2023-02-21,539.2000122070312
2023-02-22,533.4000244140625
2023-02-23,521.6500244140625
2023-02-24,515.5999755859375
2023-02-27,480.45001220703125
2023-02-28,468.3500061035156
2023-03-01,466.29998779296875
2023-03-02,491.54998779296875
2023-03-03,481.79998779296875
2023-03-06,481.95001220703125
2023-03-08,473.0
2023-03-09,465.45001220703125
2023-03-10,454.45001220703125
2023-03-13,438.25
2023-03-14,428.04998779296875
2023-03-15,420.79998779296875
2023-03-16,410.5
2023-03-17,407.1000061035156
2023-03-20,390.6499938964844
2023-03-21,390.3500061035156
2023-03-22,390.1499938964844
2023-03-23,385.1499938964844
2023-03-24,376.3999938964844
2023-03-27,362.5
2023-03-28,347.8999938964844
2023-03-29,366.04998779296875
2023-03-31,389.04998779296875
2023-04-03,408.20001220703125
2023-04-05,402.8500061035156
2023-04-06,398.04998779296875
2023-04-10,396.8999938964844
2023-04-11,399.1499938964844
2023-04-12,400.20001220703125
2023-04-13,396.1499938964844
2023-04-17,391.45001220703125
2023-04-18,393.70001220703125
2023-04-19,391.29998779296875
2023-04-20,387.6499938964844
2023-04-21,392.1499938964844
2023-04-24,393.1000061035156
2023-04-25,389.3500061035156
2023-04-26,387.54998779296875
2023-04-27,402.75
2023-04-28,423.5
2023-05-02,427.75
2023-05-03,428.6000061035156
2023-05-04,433.6499938964844
2023-05-05,435.3999938964844
2023-05-08,424.0
2023-05-09,430.6499938964844
2023-05-10,430.6499938964844
2023-05-11,423.54998779296875
2023-05-12,419.8999938964844
2023-05-15,411.1499938964844
2023-05-16,410.29998779296875
2023-05-17,410.6499938964844
2023-05-18,420.54998779296875
2023-05-19,420.6000061035156
2023-05-22,415.5
2023-05-23,422.29998779296875
2023-05-24,425.04998779296875
2023-05-25,431.20001220703125
2023-05-26,428.5
2023-05-29,420.54998779296875
2023-05-30,417.1000061035156
2023-05-31,417.0
2023-06-01,415.8500061035156
2023-06-02,422.1499938964844
2023-06-05,487.6000061035156
2023-06-06,487.3999938964844
2023-06-07,484.6000061035156
2023-06-08,539.3499755859375
2023-06-09,527.5
2023-06-12,512.0499877929688
2023-06-13,519.0999755859375
2023-06-14,504.79998779296875
2023-06-15,482.1000061035156
2023-06-16,488.8999938964844
2023-06-19,486.1499938964844
2023-06-20,489.1499938964844
2023-06-21,483.70001220703125
2023-06-22,478.8500061035156
2023-06-23,478.3500061035156
2023-06-26,478.25
2023-06-27,480.54998779296875
2023-06-28,479.1000061035156
2023-06-30,482.5
2023-07-03,491.8999938964844
2023-07-04,491.8500061035156
2023-07-05,516.25
2023-07-06,507.8500061035156
2023-07-07,495.20001220703125
2023-07-10,487.3500061035156
2023-07-11,555.9500122070312
2023-07-12,537.2999877929688
2023-07-13,516.7000122070312
2023-07-14,515.2000122070312
2023-07-17,518.7999877929688
2023-07-18,508.6499938964844
2023-07-19,512.0999755859375
2023-07-20,521.4500122070312
2023-07-21,509.6000061035156
2023-07-24,501.6000061035156
2023-07-25,501.6000061035156
2023-07-26,501.5
2023-07-27,509.04998779296875
2023-07-28,507.04998779296875
2023-07-31,501.3999938964844
2023-08-01,509.3999938964844
2023-08-02,503.70001220703125
2023-08-03,506.45001220703125
2023-08-04,509.45001220703125
2023-08-07,526.1500244140625
2023-08-08,530.6500244140625
2023-08-09,529.4000244140625
2023-08-10,536.5
2023-08-11,527.3499755859375
2023-08-14,518.6500244140625
2023-08-16,509.54998779296875
2023-08-17,496.1499938964844
2023-08-18,495.04998779296875
2023-08-21,486.29998779296875
2023-08-22,508.3999938964844
2023-08-23,506.29998779296875
2023-08-24,512.6500244140625
2023-08-25,514.5499877929688
2023-08-28,522.9500122070312
2023-08-29,519.25
2023-08-30,525.2999877929688
