Date,GODREJPROP
2014-11-19,242.39041137695312
2014-11-20,240.90850830078125
2014-11-21,249.0590057373047
2014-11-24,251.0348663330078
2014-11-25,247.62648010253906
2014-11-26,251.43003845214844
2014-11-27,247.23130798339844
2014-11-28,247.62648010253906
2014-12-01,247.97225952148438
2014-12-02,247.9228515625
2014-12-03,264.8659973144531
2014-12-04,267.0394287109375
2014-12-05,267.6816101074219
2014-12-08,267.3852233886719
2014-12-09,260.0251159667969
2014-12-10,261.2106018066406
2014-12-11,258.7407531738281
2014-12-12,253.0107421875
2014-12-15,252.3191680908203
2014-12-16,245.4036102294922
2014-12-17,244.76145935058594
2014-12-18,246.5891571044922
2014-12-19,243.9217071533203
2014-12-22,244.2180938720703
2014-12-23,245.15663146972656
2014-12-24,245.25543212890625
2014-12-26,245.35423278808594
2014-12-29,247.03372192382812
2014-12-30,254.1962432861328
2014-12-31,254.4432373046875
2015-01-01,252.12158203125
2015-01-02,253.5047149658203
2015-01-05,261.260009765625
2015-01-06,252.3685760498047
2015-01-07,249.20716857910156
2015-01-08,249.45416259765625
2015-01-09,247.97225952148438
2015-01-12,250.14572143554688
2015-01-13,249.65174865722656
2015-01-14,248.26864624023438
2015-01-15,258.6913757324219
2015-01-16,256.5179138183594
2015-01-19,258.4937744140625
2015-01-20,266.1009216308594
2015-01-21,261.9515686035156
2015-01-22,264.7178039550781
2015-01-23,263.4334716796875
2015-01-27,272.0285339355469
2015-01-28,273.36224365234375
2015-01-29,275.68389892578125
2015-01-30,276.12847900390625
2015-02-02,272.37432861328125
2015-02-03,278.59832763671875
2015-02-04,281.5621337890625
2015-02-05,286.1560363769531
2015-02-06,280.4753723144531
2015-02-09,280.77178955078125
2015-02-10,283.93316650390625
2015-02-11,290.45355224609375
2015-02-12,293.5655822753906
2015-02-13,292.28125
2015-02-16,292.2318115234375
2015-02-18,294.8005065917969
2015-02-19,300.7281188964844
2015-02-20,298.7028503417969
2015-02-23,297.71490478515625
2015-02-24,297.7643127441406
2015-02-25,295.2450866699219
2015-02-26,294.40533447265625
2015-02-27,295.146240234375
2015-03-02,294.3064880371094
2015-03-03,294.40533447265625
2015-03-04,285.1680908203125
2015-03-05,278.49951171875
2015-03-09,275.09112548828125
2015-03-10,269.0647277832031
2015-03-11,264.52020263671875
2015-03-12,264.96478271484375
2015-03-13,262.741943359375
2015-03-16,261.0130310058594
2015-03-17,261.50701904296875
2015-03-18,256.764892578125
2015-03-19,253.75169372558594
2015-03-20,248.4168243408203
2015-03-23,248.1698455810547
2015-03-24,247.8734588623047
2015-03-25,242.0446319580078
2015-03-26,236.31459045410156
2015-03-27,235.9688262939453
2015-03-30,248.515625
2015-03-31,248.1204376220703
2015-04-01,255.52996826171875
2015-04-06,268.3237609863281
2015-04-07,272.91766357421875
2015-04-08,270.9911804199219
2015-04-09,268.0767822265625
2015-04-10,269.953857421875
2015-04-13,270.9418029785156
2015-04-15,266.39727783203125
2015-04-16,261.9515686035156
2015-04-17,258.4937744140625
2015-04-20,255.97454833984375
2015-04-21,257.20947265625
2015-04-22,252.02281188964844
2015-04-23,248.4662322998047
2015-04-24,241.9952392578125
2015-04-27,238.09288024902344
2015-04-28,241.2542724609375
2015-04-29,232.70863342285156
2015-04-30,239.0314178466797
2015-05-04,241.30368041992188
2015-05-05,246.5891571044922
2015-05-06,248.36741638183594
2015-05-07,240.21694946289062
2015-05-08,241.8470458984375
2015-05-11,244.90965270996094
2015-05-12,239.82177734375
2015-05-13,237.10494995117188
2015-05-14,236.90736389160156
2015-05-15,236.16641235351562
2015-05-18,237.10494995117188
2015-05-19,237.0061492919922
2015-05-20,236.61097717285156
2015-05-21,251.7758331298828
2015-05-22,257.70343017578125
2015-05-25,255.7275848388672
2015-05-26,252.26979064941406
2015-05-27,257.30828857421875
2015-05-28,260.46966552734375
2015-05-29,264.81658935546875
2015-06-01,264.3720397949219
2015-06-02,252.17098999023438
2015-06-03,251.38064575195312
2015-06-04,252.41798400878906
2015-06-05,257.1106872558594
2015-06-08,247.67587280273438
2015-06-09,247.08311462402344
2015-06-10,252.3685760498047
2015-06-11,252.17098999023438
2015-06-12,247.08311462402344
2015-06-15,241.9952392578125
2015-06-16,239.0314178466797
