Date,CROMPTON
2018-02-19,213.9934844970703
2018-02-20,216.1685791015625
2018-02-21,217.5106964111328
2018-02-22,213.5306854248047
2018-02-23,215.5669708251953
2018-02-26,215.3818359375
2018-02-27,215.3818359375
2018-02-28,215.19674682617188
2018-03-01,215.3355712890625
2018-03-05,217.23300170898438
2018-03-06,217.88088989257812
2018-03-07,218.57510375976562
2018-03-08,221.90719604492188
2018-03-09,222.97157287597656
2018-03-12,217.0015869140625
2018-03-13,210.19862365722656
2018-03-14,208.90280151367188
2018-03-15,205.8021697998047
2018-03-16,210.7539825439453
2018-03-19,203.39561462402344
2018-03-20,207.2830352783203
2018-03-21,215.15045166015625
2018-03-22,221.39810180664062
2018-03-23,224.45249938964844
2018-03-26,217.0015869140625
2018-03-27,215.0116424560547
2018-03-28,219.13046264648438
2018-04-02,215.28929138183594
2018-04-03,214.54884338378906
2018-04-04,212.23487854003906
2018-04-05,216.6313934326172
2018-04-06,213.66952514648438
2018-04-09,222.13858032226562
2018-04-10,219.9171905517578
2018-04-11,218.0660400390625
2018-04-12,218.57510375976562
2018-04-13,215.24301147460938
2018-04-16,208.4400177001953
2018-04-17,207.32933044433594
2018-04-18,209.3656005859375
2018-04-19,211.26303100585938
2018-04-20,212.55885314941406
2018-04-23,213.57696533203125
2018-04-24,214.64138793945312
2018-04-25,210.892822265625
2018-04-26,212.3737335205078
2018-04-27,215.61325073242188
2018-04-30,218.436279296875
2018-05-02,217.0478973388672
2018-05-03,218.01976013183594
2018-05-04,226.85903930664062
2018-05-07,230.37620544433594
2018-05-08,231.39434814453125
2018-05-09,227.59947204589844
2018-05-10,219.36183166503906
2018-05-11,216.90904235839844
2018-05-14,217.69578552246094
2018-05-15,212.55885314941406
2018-05-16,213.29930114746094
2018-05-17,228.94155883789062
2018-05-18,227.3680877685547
2018-05-21,223.249267578125
2018-05-22,225.7483367919922
2018-05-23,222.36997985839844
2018-05-24,218.76022338867188
2018-05-25,213.808349609375
2018-05-28,210.10604858398438
2018-05-29,209.5507049560547
2018-05-30,205.52447509765625
2018-05-31,209.87466430664062
2018-06-01,206.12608337402344
2018-06-04,207.1905059814453
2018-06-05,209.2267608642578
2018-06-06,208.25491333007812
2018-06-07,208.3937225341797
2018-06-08,209.31932067871094
2018-06-11,216.72393798828125
2018-06-12,217.27928161621094
2018-06-13,214.31744384765625
2018-06-14,210.3374481201172
2018-06-15,206.26492309570312
2018-06-18,201.4981689453125
2018-06-19,201.6833038330078
2018-06-20,201.72958374023438
2018-06-21,206.07980346679688
2018-06-22,208.4400177001953
2018-06-25,211.81838989257812
2018-06-26,206.5888671875
2018-06-27,202.97914123535156
2018-06-28,203.67327880859375
2018-06-29,209.3656005859375
2018-07-02,208.162353515625
2018-07-03,209.31932067871094
2018-07-04,209.73582458496094
2018-07-05,212.2812042236328
2018-07-06,211.26303100585938
2018-07-09,210.29115295410156
2018-07-10,212.23487854003906
2018-07-11,217.5569610595703
2018-07-12,217.9734649658203
2018-07-13,214.96534729003906
2018-07-16,215.4281463623047
2018-07-17,210.15235900878906
2018-07-18,215.79837036132812
2018-07-19,215.09890747070312
2018-07-20,219.38877868652344
2018-07-23,224.33145141601562
2018-07-24,224.5645751953125
2018-07-25,220.46124267578125
2018-07-26,224.00503540039062
2018-07-27,228.43478393554688
2018-07-30,223.21237182617188
2018-07-31,226.7095489501953
2018-08-01,226.94265747070312
2018-08-02,226.42974853515625
2018-08-03,234.07687377929688
2018-08-06,240.60488891601562
2018-08-07,243.02963256835938
2018-08-08,245.08126831054688
2018-08-09,244.14869689941406
2018-08-10,248.0189208984375
2018-08-13,248.9048309326172
2018-08-14,245.5941925048828
2018-08-16,244.47509765625
2018-08-17,244.66163635253906
2018-08-20,247.7391357421875
2018-08-21,245.87396240234375
2018-08-23,247.08633422851562
2018-08-24,246.2469940185547
2018-08-27,244.988037109375
2018-08-28,230.43980407714844
2018-08-29,232.3516082763672
2018-08-30,231.4190216064453
2018-08-31,233.56394958496094
2018-09-03,233.51731872558594
2018-09-04,218.0365447998047
2018-09-05,206.98550415039062
2018-09-06,202.6023712158203
2018-09-07,205.35350036621094
2018-09-10,206.05291748046875
2018-09-11,204.0012664794922
2018-09-12,202.41586303710938
2018-09-14,206.05291748046875
