date,NIFTY CONSUMER SERVICES
2022-10-28,2180.96
2022-10-31,2228.1
2022-11-01,2242.63
2022-11-02,2231.66
2022-11-03,2223.97
2022-11-04,2203.26
2022-11-07,2220.9
2022-11-09,2188.32
2022-11-10,2162.17
2022-11-11,2187.6
2022-11-14,2188.34
2022-11-15,2162.01
2022-11-16,2142.91
2022-11-17,2118.07
2022-11-18,2101.51
2022-11-21,2088.08
2022-11-22,2098.46
2022-11-23,2091.14
2022-11-24,2104.02
2022-11-25,2115.83
2022-11-28,2122.19
2022-11-29,2117.23
2022-11-30,2146.84
2022-12-01,2152.96
2022-12-02,2157.75
2022-12-05,2157.28
2022-12-06,2158.05
2022-12-07,2141.01
2022-12-08,2140.24
2022-12-09,2137.43
2022-12-12,2143.99
2022-12-13,2151.31
2022-12-14,2177.24
2022-12-15,2149.44
2022-12-16,2104.25
2022-12-19,2121.75
2022-12-20,2123.74
2022-12-21,2068.87
2022-12-22,2035.88
2022-12-23,1957.37
2022-12-26,2032.39
2022-12-27,2041.79
2022-12-28,2045.24
2022-12-29,2061.06
2022-12-30,2052.3
2023-01-02,2051.1
2023-01-03,2048.61
2023-01-04,2005.8
2023-01-05,1988.43
2023-01-06,1970.33
2023-01-09,1974.61
2023-01-10,1963.26
2023-01-11,1961.31
2023-01-12,1960.11
2023-01-13,1953.75
2023-01-16,1923.55
2023-01-17,1909.83
2023-01-18,1908.34
2023-01-19,1890.83
2023-01-20,1875.58
2023-01-23,1868.01
2023-01-24,1891.58
2023-01-25,1858.77
2023-01-27,1833.56
2023-01-30,1848.41
2023-01-31,1874.47
2023-02-01,1879.62
2023-02-02,1863.11
2023-02-03,1865.06
2023-02-06,1862.48
2023-02-07,1864.65
2023-02-08,1898.72
2023-02-09,1932.8
2023-02-10,1934.38
2023-02-13,1894.85
2023-02-14,1881.15
2023-02-15,1898.15
2023-02-16,1910.47
2023-02-17,1902.21
2023-02-20,1903.08
2023-02-21,1901.05
2023-02-22,1864.94
2023-02-23,1867.97
2023-02-24,1864.23
2023-02-27,1851.75
2023-02-28,1846.95
2023-03-01,1866.04
2023-03-02,1870.42
2023-03-03,1877.82
2023-03-06,1886.42
2023-03-08,1886.8
2023-03-09,1877.18
2023-03-10,1866.05
2023-03-13,1834.93
2023-03-14,1830.27
2023-03-15,1820.25
2023-03-16,1839.12
2023-03-17,1851.76
2023-03-20,1841.17
2023-03-21,1843.81
2023-03-22,1845.63
2023-03-23,1842.09
2023-03-24,1818.17
2023-03-27,1804.31
2023-03-28,1790.04
2023-03-29,1811.18
2023-03-31,1842.53
2023-04-03,1857.68
2023-04-05,1881.11
2023-04-06,1866.37
2023-04-10,1866.91
2023-04-11,1869.92
2023-04-12,1883.68
2023-04-13,1888.83
2023-04-17,1884.85
2023-04-18,1889.38
2023-04-19,1881.88
2023-04-20,1892.6
2023-04-21,1893.45
2023-04-24,1899.93
2023-04-25,1905.69
2023-04-26,1903.38
2023-04-27,1917.57
2023-04-28,1948.88
2023-05-02,1975.47
2023-05-03,1979.82
2023-05-04,2004.54
2023-05-05,2002.53
2023-05-08,2021.55
2023-05-09,2010.28
2023-05-10,2015.29
2023-05-11,2016.58
2023-05-12,2011.0
2023-05-15,2012.07
2023-05-16,2008.3
2023-05-17,1999.24
2023-05-18,1987.9
2023-05-19,1995.74
2023-05-22,1996.26
2023-05-23,2006.55
2023-05-24,2005.19
2023-05-25,2029.53
2023-05-26,2058.46
2023-05-29,2060.09
2023-05-30,2062.71
2023-05-31,2072.11
2023-06-01,2088.98
2023-06-02,2119.12
2023-06-05,2113.68
2023-06-06,2111.14
2023-06-07,2130.62
2023-06-08,2112.64
2023-06-09,2126.92
2023-06-12,2140.73
2023-06-13,2179.22
2023-06-14,2173.68
2023-06-15,2193.06
2023-06-16,2235.83
2023-06-19,2233.27
2023-06-20,2233.35
2023-06-21,2227.0
2023-06-22,2193.47
2023-06-23,2168.54
2023-06-26,2197.79
2023-06-27,2202.02
2023-06-28,2221.73
2023-06-30,2218.69
2023-07-03,2214.43
2023-07-04,2196.97
2023-07-05,2189.61
2023-07-06,2201.26
2023-07-07,2176.78
2023-07-10,2161.48
2023-07-11,2197.78
2023-07-12,2195.03
2023-07-13,2206.12
2023-07-14,2224.65
2023-07-17,2215.02
2023-07-18,2200.85
2023-07-19,2217.59
2023-07-20,2210.55
2023-07-21,2218.38
2023-07-24,2210.09
2023-07-25,2217.99
2023-07-26,2215.36
2023-07-27,2218.41
2023-07-28,2242.09
2023-07-31,2250.81
2023-08-01,2258.6
2023-08-02,2241.15
2023-08-03,2242.92
2023-08-04,2295.02
2023-08-07,2292.71
2023-08-08,2272.09
2023-08-09,2286.22
2023-08-10,2289.13
2023-08-11,2277.44
2023-08-14,2252.04
2023-08-16,2246.09
2023-08-17,2249.67
2023-08-18,2240.69
2023-08-21,2252.83
2023-08-22,2279.4
2023-08-23,2293.35
2023-08-24,2305.43
2023-08-25,2270.34
2023-08-28,2281.27
2023-08-29,2305.88
2023-08-30,2366.37
2023-08-31,2358.29
2023-09-01,2375.33
2023-09-04,2374.01
2023-09-05,2404.22
2023-09-06,2420.53
2023-09-07,2426.14
2023-09-08,2436.12
2023-09-11,2450.61
2023-09-12,2396.55
2023-09-13,2391.68
2023-09-14,2413.37
2023-09-15,2429.19
2023-09-18,2416.13
2023-09-20,2393.1
2023-09-21,2366.7
2023-09-22,2364.91
2023-09-25,2370.79
2023-09-26,2372.38
2023-09-27,2374.01
2023-09-28,2354.99
2023-09-29,2368.33
2023-10-03,2389.63
2023-10-04,2370.56
2023-10-05,2405.79
2023-10-06,2415.51
2023-10-09,2394.28
2023-10-10,2401.25
2023-10-11,2426.67
2023-10-12,2430.46
2023-10-13,2431.57
2023-10-16,2429.82
2023-10-17,2436.63
2023-10-18,2418.62
2023-10-19,2409.5
2023-10-20,2395.56
2023-10-23,2329.35
2023-10-25,2326.81
2023-10-26,2297.05
2023-10-27,2315.25
2023-10-30,2318.42
2023-10-31,2315.8
2023-11-01,2318.26
2023-11-02,2338.11
2023-11-03,2380.62
2023-11-06,2424.4
2023-11-07,2456.31
2023-11-08,2488.72
2023-11-09,2480.8
2023-11-10,2491.03
2023-11-12,2505.66
2023-11-13,2506.35
2023-11-15,2523.07
2023-11-16,2529.58
2023-11-17,2558.99
2023-11-20,2557.54
2023-11-21,2551.66
2023-11-22,2548.66
2023-11-23,2547.25
2023-11-24,2550.29
2023-11-28,2562.99
2023-11-29,2569.61
2023-11-30,2609.63
2023-12-01,2611.59
2023-12-04,2624.58
2023-12-05,2639.48
2023-12-06,2668.16
2023-12-07,2681.95
2023-12-08,2657.64
2023-12-11,2671.44
2023-12-12,2655.64
2023-12-13,2678.95
2023-12-14,2729.91
2023-12-15,2727.7
2023-12-18,2756.97
2023-12-19,2765.74
2023-12-20,2675.59
2023-12-21,2704.1
2023-12-22,2731.52
2023-12-26,2724.96
2023-12-27,2740.37
2023-12-28,2733.47
2023-12-29,2751.32
2024-01-01,2744.36
2024-01-02,2765.58
2024-01-03,2761.97
2024-01-04,2782.03
2024-01-05,2793.68
2024-01-08,2773.42
2024-01-09,2804.0
2024-01-10,2828.16
2024-01-11,2849.55
2024-01-12,2864.67
2024-01-15,2855.21
2024-01-16,2827.68
2024-01-17,2778.95
2024-01-18,2769.62
2024-01-19,2825.24
2024-01-20,2813.94
2024-01-23,2755.01
2024-01-24,2813.52
2024-01-25,2807.58
2024-01-29,2828.86
2024-01-30,2792.51
2024-01-31,2832.1
2024-02-01,2830.04
2024-02-02,2851.61
2024-02-05,2812.71
2024-02-06,2828.42
2024-02-07,2924.94
2024-02-08,2965.69
2024-02-09,2967.01
2024-02-12,2947.45
2024-02-13,2955.02
2024-02-14,2967.0
2024-02-15,2984.71
2024-02-16,3018.02
2024-02-19,3041.05
2024-02-20,3058.87
2024-02-21,3027.81
2024-02-22,3066.0
2024-02-23,3078.53
2024-02-26,3063.66
2024-02-27,3072.36
2024-02-28,3035.25
2024-02-29,3064.39
2024-03-01,3072.08
2024-03-02,3078.56
2024-03-04,3077.44
2024-03-05,3045.24
2024-03-06,3019.11
2024-03-07,3040.69
2024-03-11,3022.86
2024-03-12,3017.08
2024-03-13,2913.54
2024-03-14,2994.42
2024-03-15,3014.83
2024-03-18,3010.88
2024-03-19,2985.96
2024-03-20,3018.13
2024-03-21,3086.52
2024-03-22,3105.32
2024-03-26,3152.39
2024-03-27,3155.48
2024-03-28,3191.17
2024-04-01,3228.15
2024-04-02,3223.31
2024-04-03,3225.55
2024-04-04,3281.26
2024-04-05,3285.28
2024-04-08,3326.76
2024-04-09,3324.48
2024-04-10,3351.21
2024-04-12,3346.89
2024-04-15,3284.41
2024-04-16,3262.88
2024-04-18,3262.19
2024-04-19,3293.36
2024-04-22,3324.09
2024-04-23,3330.57
2024-04-24,3336.53
2024-04-25,3327.32
2024-04-26,3329.58
2024-04-29,3360.67
2024-04-30,3385.3
2024-05-02,3426.25
2024-05-03,3405.98
2024-05-06,3386.56
2024-05-07,3366.2
2024-05-08,3397.95
2024-05-09,3352.07
2024-05-10,3392.0
2024-05-13,3360.23
2024-05-14,3351.8
2024-05-15,3367.25
2024-05-16,3396.61
2024-05-17,3435.34
2024-05-18,3433.82
2024-05-21,3439.44
2024-05-22,3440.68
2024-05-23,3442.03
2024-05-24,3400.85
2024-05-27,3384.66
2024-05-28,3340.67
2024-05-29,3338.4
2024-05-30,3296.24
2024-05-31,3266.01
2024-06-03,3289.11
2024-06-04,3192.64
2024-06-05,3392.95
2024-06-06,3411.73
2024-06-07,3451.33
2024-06-10,3451.44
2024-06-11,3454.95
2024-06-12,3460.3
2024-06-13,3478.72
2024-06-14,3538.69
2024-06-18,3602.5
2024-06-19,3622.66
2024-06-20,3623.19
2024-06-21,3607.3
2024-06-24,3664.53
2024-06-25,3669.27
2024-06-26,3649.48
2024-06-27,3641.17
2024-06-28,3648.4
2024-07-01,3683.85
2024-07-02,3695.56
2024-07-03,3695.34
2024-07-04,3705.41
2024-07-05,3731.18
2024-07-08,3726.35
2024-07-09,3740.84
2024-07-10,3727.65
2024-07-11,3756.89
2024-07-12,3792.1
2024-07-15,3821.19
2024-07-16,3775.59
2024-07-18,3741.01
2024-07-19,3679.76
2024-07-22,3731.03
2024-07-23,3725.56
2024-07-24,3793.82
2024-07-25,3772.18
2024-07-26,3823.76
2024-07-29,3859.44
2024-07-30,3876.03
2024-07-31,3901.25
2024-08-01,3891.82
2024-08-02,3968.04
2024-08-05,3850.82
2024-08-06,3798.73
2024-08-07,3938.31
2024-08-08,3937.89
2024-08-09,4048.88
2024-08-12,4060.4
2024-08-13,4000.4
2024-08-14,4022.52
2024-08-16,4085.55
2024-08-19,4098.55
2024-08-20,4125.54
2024-08-21,4149.42
2024-08-22,4186.71
2024-08-23,4192.48
2024-08-26,4202.65
2024-08-27,4193.23
2024-08-28,4221.32
2024-08-29,4199.18
2024-08-30,4188.21
2024-09-02,4172.06
2024-09-03,4173.07
2024-09-04,4177.26
2024-09-05,4265.92
2024-09-06,4257.25
2024-09-09,4276.29
2024-09-10,4326.93
2024-09-11,4332.73
2024-09-12,4397.67
2024-09-13,4353.68
2024-09-16,4385.9
2024-09-17,4364.03
2024-09-18,4364.66
2024-09-19,4392.96
2024-09-20,4474.61
2024-09-23,4546.24
2024-09-24,4528.5
2024-09-25,4475.46
2024-09-26,4489.99
2024-09-27,4474.12
2024-09-30,4400.43
2024-10-01,4398.35
2024-10-03,4323.59
2024-10-04,4291.37
2024-10-07,4211.41
2024-10-08,4370.97
2024-10-09,4444.13
2024-10-10,4404.49
2024-10-11,4445.92
2024-10-14,4401.59
2024-10-15,4400.81
2024-10-16,4331.29
2024-10-17,4262.72
2024-10-18,4221.21
2024-10-21,4187.42
2024-10-22,4082.54
2024-10-23,4135.44
2024-10-24,4080.45
2024-10-25,4049.68
2024-10-28,4038.93
2024-10-29,4048.81
2024-10-30,4025.63
2024-10-31,3984.42
2024-11-01,4042.61
2024-11-04,3989.55
2024-11-05,3972.93
2024-11-06,4057.7
2024-11-07,4004.58
2024-11-08,3965.49
2024-11-11,4025.59
2024-11-12,4007.51
2024-11-13,3944.98
2024-11-14,4002.57
2024-11-18,3967.44
2024-11-19,4001.1
2024-11-21,3979.42
2024-11-22,4044.08
2024-11-25,4110.18
2024-11-26,4136.98
2024-11-27,4184.35
2024-11-28,4173.55
2024-11-29,4173.79
2024-12-02,4200.94
2024-12-03,4224.96
2024-12-04,4250.4
2024-12-05,4319.28
2024-12-06,4343.61
2024-12-09,4323.8
2024-12-10,4326.66
2024-12-11,4334.3
2024-12-12,4290.19
2024-12-13,4311.8
2024-12-16,4346.86
2024-12-17,4347.94
2024-12-18,4341.67
2024-12-19,4313.87
2024-12-20,4207.89
2024-12-23,4204.99
2024-12-24,4225.48
2024-12-26,4228.56
2024-12-27,4233.82
2024-12-30,4269.4
2024-12-31,4273.32
2025-01-01,4281.04
2025-01-02,4362.43
2025-01-03,4371.43
2025-01-06,4249.5
2025-01-07,4186.97
2025-01-08,4124.27
2025-01-09,4070.65
2025-01-10,4013.8
2025-01-13,3799.51
2025-01-14,3837.45
2025-01-15,3934.43
2025-01-16,3920.91
2025-01-17,3956.1
2025-01-20,3908.07
2025-01-21,3729.12
2025-01-22,3699.33
2025-01-23,3762.71
2025-01-24,3683.84
2025-01-27,3571.66
2025-01-28,3587.56
2025-01-29,3709.04
2025-01-30,3684.78
2025-01-31,3751.58
2025-02-01,3949.68
2025-02-03,3945.54
2025-02-04,3893.9
2025-02-05,3881.42
2025-02-06,3786.68
2025-02-07,3799.65
2025-02-10,3709.83
2025-02-11,3604.47
2025-02-12,3593.63
2025-02-13,3608.99
