date,NIFTY CONSUMER DURABLES
2008-10-21,1391.42
2008-10-22,1341.19
2008-10-23,1328.52
2008-10-24,1196.12
2008-10-27,1108.72
2008-10-28,1191.84
2008-10-29,1193.44
2008-10-31,1226.7
2008-11-03,1265.23
2008-11-04,1284.15
2008-11-05,1269.55
2008-11-06,1236.35
2008-11-07,1249.26
2008-11-10,1287.14
2008-11-11,1224.47
2008-11-12,1190.8
2008-11-14,1159.96
2008-11-17,1112.2
2008-11-18,1092.9
2008-11-19,1085.74
2008-11-20,1043.9
2008-11-21,1060.84
2008-11-24,1045.37
2008-11-25,1043.61
2008-11-26,1044.24
2008-11-28,1039.35
2008-12-01,998.78
2008-12-02,978.82
2008-12-03,1003.74
2008-12-04,1021.7
2008-12-05,987.89
2008-12-08,1009.95
2008-12-10,1031.97
2008-12-11,1017.24
2008-12-12,1048.96
2008-12-15,1094.88
2008-12-16,1175.27
2008-12-17,1132.86
2008-12-18,1168.6
2008-12-19,1184.69
2008-12-22,1215.62
2008-12-23,1152.49
2008-12-24,1131.2
2008-12-26,1102.16
2008-12-29,1106.67
2008-12-30,1121.65
2008-12-31,1142.14
2009-01-01,1170.95
2009-01-02,1195.76
2009-01-05,1214.43
2009-01-06,1193.19
2009-01-07,1112.1
2009-01-09,1073.97
2009-01-12,1062.15
2009-01-13,1059.97
2009-01-14,1077.69
2009-01-15,1060.65
2009-01-16,1063.5
2009-01-19,1069.75
2009-01-20,1052.06
2009-01-21,1035.36
2009-01-22,1007.55
2009-01-23,1010.09
2009-01-27,1009.77
2009-01-28,1028.14
2009-01-29,1026.72
2009-01-30,1039.64
2009-02-02,1007.04
2009-02-03,985.2
2009-02-04,967.67
2009-02-05,952.27
2009-02-06,974.89
2009-02-09,1005.61
2009-02-10,1004.33
2009-02-11,1005.01
2009-02-12,1005.76
2009-02-13,1014.46
2009-02-16,1003.84
2009-02-17,956.41
2009-02-18,942.89
2009-02-19,948.96
2009-02-20,934.47
2009-02-24,931.56
2009-02-25,934.92
2009-02-26,920.09
2009-02-27,923.51
2009-03-02,927.8
