date,NIFTY FMCG
1998-01-15,1849.62
1998-01-16,1855.94
1998-01-19,1889.85
1998-01-20,1887.34
1998-01-21,1886.83
1998-01-22,1863.87
1998-01-23,1859.42
1998-01-27,1833.95
1998-01-28,1797.29
1998-01-29,1790.41
1998-01-30,1848.38
1998-02-02,1873.23
1998-02-03,1886.35
1998-02-04,1899.72
1998-02-05,1931.39
1998-02-06,1930.49
1998-02-09,1922.65
1998-02-10,1895.65
1998-02-11,1889.03
1998-02-12,1892.09
1998-02-13,1981.33
1998-02-17,2054.08
1998-02-18,2031.04
1998-02-19,2052.83
1998-02-20,2045.99
1998-02-23,2071.98
1998-02-24,2065.53
1998-02-25,2092.78
1998-02-26,2089.03
1998-02-27,2117.82
1998-03-02,2202.46
1998-03-03,2135.36
1998-03-04,2187.29
1998-03-05,2165.1
1998-03-06,2160.8
1998-03-09,2203.72
1998-03-10,2178.9
1998-03-11,2200.44
1998-03-12,2200.02
1998-03-16,2202.47
1998-03-17,2191.02
1998-03-18,2227.12
1998-03-19,2256.88
1998-03-20,2268.23
1998-03-23,2300.64
1998-03-24,2280.78
1998-03-25,2302.53
1998-03-26,2268.76
1998-03-27,2280.3
1998-03-30,2244.23
1998-03-31,2251.8
1998-04-01,2322.28
1998-04-02,2303.13
1998-04-03,2317.81
1998-04-06,2337.08
1998-04-07,2356.02
1998-04-09,2370.25
1998-04-10,2344.2
1998-04-13,2287.07
1998-04-15,2356.67
1998-04-16,2341.05
1998-04-17,2360.1
1998-04-20,2361.29
1998-04-21,2406.97
1998-04-22,2403.78
1998-04-23,2362.18
1998-04-24,2351.06
1998-04-27,2341.67
1998-04-28,2310.88
1998-04-29,2312.09
1998-04-30,2339.75
1998-05-04,2420.16
1998-05-05,2409.41
1998-05-06,2386.75
1998-05-08,2367.28
1998-05-11,2370.94
1998-05-12,2314.63
1998-05-13,2259.85
1998-05-14,2327.34
1998-05-15,2332.05
1998-05-18,2340.34
1998-05-19,2359.77
1998-05-20,2404.61
1998-05-21,2398.36
1998-05-22,2399.52
1998-05-25,2378.04
1998-05-26,2330.59
1998-05-27,2273.17
1998-05-28,2254.74
1998-05-29,2222.65
1998-06-01,2181.59
1998-06-02,2123.32
1998-06-03,2165.99
1998-06-04,2156.34
1998-06-05,2113.96
1998-06-08,2053.45
1998-06-09,2136.62
1998-06-10,2062.39
1998-06-11,2069.37
1998-06-12,2103.18
1998-06-15,1992.94
1998-06-16,2023.08
1998-06-17,2174.52
1998-06-18,2114.84
1998-06-19,2023.22
1998-06-22,1968.81
1998-06-23,1944.07
1998-06-24,2012.22
1998-06-25,2046.28
1998-06-26,2038.36
1998-06-29,2080.69
1998-06-30,2075.86
1998-07-01,2133.75
1998-07-02,2055.51
1998-07-03,2040.43
1998-07-06,2087.89
1998-07-07,2102.79
1998-07-08,2159.51
1998-07-09,2204.72
1998-07-10,2231.06
1998-07-13,2187.71
1998-07-14,2205.13
1998-07-15,2231.67
1998-07-16,2334.44
1998-07-17,2322.97
1998-07-20,2287.54
1998-07-21,2283.67
1998-07-22,2280.68
1998-07-23,2220.67
1998-07-24,2200.46
1998-07-27,2185.04
1998-07-28,2218.65
1998-07-29,2288.43
1998-07-30,2270.56
1998-07-31,2263.64
1998-08-03,2186.78
1998-08-04,2181.13
1998-08-05,2198.85
1998-08-06,2180.33
1998-08-07,2182.56
1998-08-10,2161.45
1998-08-11,2168.26
1998-08-12,2140.35
1998-08-13,2153.37
1998-08-14,2149.07
1998-08-17,2115.87
1998-08-18,2081.51
1998-08-19,2109.98
1998-08-20,2170.47
1998-08-21,2155.41
1998-08-24,2175.97
1998-08-25,2201.43
1998-08-27,2176.63
1998-08-28,2159.3
1998-08-31,2175.04
1998-09-01,2144.37
1998-09-02,2154.69
1998-09-03,2175.43
1998-09-04,2211.09
1998-09-07,2221.73
1998-09-08,2260.97
1998-09-09,2257.7
1998-09-10,2273.58
1998-09-11,2260.67
1998-09-14,2296.22
1998-09-15,2286.11
1998-09-16,2279.45
1998-09-17,2265.47
1998-09-18,2228.4
1998-09-21,2227.4
1998-09-22,2253.62
1998-09-23,2262.12
1998-09-24,2332.15
1998-09-25,2317.98
1998-09-28,2310.64
1998-09-29,2268.19
1998-09-30,2284.33
1998-10-05,2133.01
1998-10-06,2238.39
