date,NIFTY POWER
2007-09-13,1999.16
2007-09-14,1976.82
2007-09-17,1996.96
2007-09-18,2003.87
2007-09-19,2044.32
2007-09-20,2092.93
2007-09-21,2096.68
2007-09-24,2209.28
2007-09-25,2208.83
2007-09-26,2173.52
2007-09-27,2209.51
2007-09-28,2258.29
2007-10-01,2393.29
2007-10-03,2536.78
2007-10-04,2619.62
2007-10-05,2518.14
2007-10-08,2398.55
2007-10-09,2571.89
2007-10-10,2656.86
2007-10-11,2693.73
2007-10-12,2678.5
2007-10-15,2846.82
2007-10-16,3054.75
2007-10-17,2876.03
2007-10-18,2672.56
2007-10-19,2467.61
2007-10-22,2482.16
2007-10-23,2672.74
2007-10-24,2775.73
2007-10-25,2814.03
2007-10-26,2877.17
2007-10-29,2956.98
2007-10-30,2987.13
2007-10-31,3060.05
2007-11-01,2986.23
2007-11-02,3092.88
2007-11-05,3143.19
2007-11-06,3210.69
2007-11-07,3173.05
2007-11-08,3151.46
2007-11-09,3142.73
2007-11-12,3251.48
2007-11-13,3374.45
2007-11-14,3506.7
2007-11-15,3452.82
2007-11-16,3448.53
2007-11-19,3472.09
2007-11-20,3387.58
2007-11-21,3145.3
2007-11-22,3024.71
2007-11-23,3249.3
2007-11-26,3355.98
2007-11-27,3308.17
2007-11-28,3213.0
2007-11-29,3217.3
2007-11-30,3403.67
2007-12-03,3572.21
2007-12-04,3595.88
2007-12-05,3708.64
2007-12-06,3677.52
2007-12-07,3680.2
2007-12-10,3702.53
2007-12-11,3736.92
2007-12-12,3813.02
2007-12-13,3782.19
2007-12-14,3755.93
2007-12-17,3589.78
2007-12-18,3613.83
2007-12-19,3625.55
2007-12-20,3633.63
2007-12-24,3765.21
2007-12-26,3848.46
2007-12-27,3840.22
2007-12-28,3908.3
2007-12-31,4000.66
2008-01-01,4101.57
2008-01-02,4139.55
2008-01-03,4344.02
2008-01-04,4339.42
2008-01-07,4317.72
2008-01-08,4210.6
2008-01-09,4259.63
2008-01-10,4081.61
2008-01-11,4074.32
2008-01-14,4186.29
2008-01-15,4097.68
2008-01-16,3926.27
2008-01-17,3892.7
2008-01-18,3664.0
2008-01-21,3038.93
2008-01-22,2700.16
2008-01-23,3146.44
2008-01-24,2927.35
2008-01-25,3202.26
2008-01-28,3182.83
2008-01-29,3211.51
2008-01-30,3066.53
2008-01-31,3025.37
2008-02-01,3088.48
2008-02-04,3210.77
2008-02-05,3344.06
2008-02-06,3343.19
2008-02-07,3213.64
2008-02-08,3119.97
2008-02-11,2761.33
2008-02-12,2684.29
2008-02-13,2728.52
2008-02-14,2954.07
2008-02-15,3000.58
2008-02-18,3017.3
2008-02-19,2980.76
2008-02-20,2915.92
2008-02-21,2952.94
2008-02-22,2907.87
2008-02-25,2952.98
2008-02-26,3005.54
2008-02-27,3015.73
2008-02-28,2997.61
2008-02-29,2982.82
2008-03-03,2794.84
2008-03-04,2722.95
2008-03-05,2709.99
2008-03-07,2515.73
2008-03-10,2493.67
2008-03-11,2627.32
2008-03-12,2635.69
2008-03-13,2503.17
2008-03-14,2603.68
2008-03-17,2463.07
2008-03-18,2458.45
2008-03-19,2433.86
2008-03-24,2414.88
2008-03-25,2580.32
2008-03-26,2568.21
2008-03-27,2572.39
2008-03-28,2659.88
2008-03-31,2575.87
2008-04-01,2584.36
2008-04-02,2581.98
2008-04-03,2554.82
2008-04-04,2498.14
2008-04-07,2523.54
2008-04-08,2489.15
2008-04-09,2533.78
2008-04-10,2579.16
2008-04-11,2621.58
2008-04-15,2673.49
2008-04-16,2695.16
2008-04-17,2761.07
2008-04-21,2820.9
2008-04-22,2822.79
2008-04-23,2811.84
2008-04-24,2770.73
2008-04-25,2805.65
2008-04-28,2843.61
2008-04-29,2889.07
2008-04-30,2929.06
2008-05-02,2992.49
2008-05-05,2956.69
2008-05-06,2878.74
2008-05-07,2868.02
2008-05-08,2826.47
2008-05-09,2762.33
2008-05-12,2766.99
2008-05-13,2769.84
2008-05-14,2809.58
2008-05-15,2858.34
2008-05-16,2899.55
2008-05-20,2875.58
2008-05-21,2897.06
2008-05-22,2834.12
2008-05-23,2767.97
2008-05-26,2714.81
2008-05-27,2684.09
2008-05-28,2734.67
2008-05-29,2704.17
2008-05-30,2677.2
2008-06-02,2566.39
2008-06-03,2474.08
2008-06-04,2363.79
2008-06-05,2447.35
2008-06-06,2404.49
2008-06-09,2329.13
2008-06-10,2312.29
2008-06-11,2339.34
2008-06-12,2368.07
2008-06-13,2320.42
2008-06-16,2389.63
2008-06-17,2452.97
2008-06-18,2436.57
2008-06-19,2371.99
2008-06-20,2303.66
2008-06-23,2223.34
2008-06-24,2155.95
2008-06-25,2166.22
2008-06-26,2215.63
2008-06-27,2114.85
2008-06-30,2041.55
2008-07-01,1931.38
2008-07-02,2039.81
2008-07-03,1928.58
2008-07-04,2007.61
2008-07-07,2030.28
2008-07-08,2032.2
2008-07-09,2151.09
2008-07-10,2160.28
2008-07-11,2060.82
2008-07-14,2085.35
2008-07-15,2002.46
2008-07-16,1975.48
2008-07-17,2050.04
2008-07-18,2135.94
2008-07-21,2208.22
2008-07-22,2301.44
2008-07-23,2435.59
2008-07-24,2381.08
2008-07-25,2369.69
2008-07-28,2363.2
2008-07-29,2253.7
2008-07-30,2319.57
2008-07-31,2307.87
2008-08-01,2356.91
2008-08-04,2368.7
2008-08-05,2432.58
2008-08-06,2381.77
2008-08-07,2388.99
2008-08-08,2392.11
2008-08-11,2442.13
2008-08-12,2404.56
2008-08-13,2383.88
2008-08-14,2317.03
2008-08-18,2286.89
2008-08-19,2291.37
2008-08-20,2323.08
2008-08-21,2246.8
2008-08-22,2257.01
2008-08-25,2254.54
2008-08-26,2265.38
2008-08-27,2222.79
2008-08-28,2186.07
2008-08-29,2271.04
2008-09-01,2255.63
2008-09-02,2340.08
